session	fixture	phase	sample	app_pid	webkit_pids	pid_count	phys_footprint_bytes	rss_bytes	status	note
2	frontier	library	9	90043	90069,90073,90074	4	295784448	250109952	ok	app + WebKit mới sinh
2	frontier	library	10	90043	90069,90073,90074	4	295784448	250109952	ok	app + WebKit mới sinh
2	frontier	reading	1	90043	90069,90073,90074	4	337207296	252772352	ok	app + WebKit mới sinh
2	frontier	reading	2	90043	90069,90073,90074	4	393441280	252706816	ok	app + WebKit mới sinh
2	frontier	reading	3	90043	90069,90073,90074	4	393441280	252706816	ok	app + WebKit mới sinh
2	frontier	reading	4	90043	90069,90073,90074	4	393437184	252706816	ok	app + WebKit mới sinh
2	frontier	reading	5	90043	90069,90073,90074	4	393400320	252657664	ok	app + WebKit mới sinh
2	frontier	reading	6	90043	90069,90073,90074	4	393355264	252624896	ok	app + WebKit mới sinh
2	frontier	reading	7	90043	90069,90073,90074	4	393244672	252514304	ok	app + WebKit mới sinh
2	frontier	reading	8	90043	90069,90073,90074	4	375812096	252514304	ok	app + WebKit mới sinh
2	frontier	reading	9	90043	90069,90073,90074	4	279719936	252514304	ok	app + WebKit mới sinh
2	frontier	reading	10	90043	90069,90073,90074	4	279719936	252514304	ok	app + WebKit mới sinh
2	frontier	back_library_keepalive	1	90043	90069,90073,90074	4	339103744	255647744	ok	app + WebKit mới sinh
2	frontier	back_library_keepalive	2	90043	90069,90073,90074	4	377995264	255655936	ok	app + WebKit mới sinh
2	frontier	back_library_keepalive	3	90043	90069,90073,90074	4	377798656	255655936	ok	app + WebKit mới sinh
2	frontier	back_library_keepalive	4	90043	90069,90073,90074	4	377798656	255655936	ok	app + WebKit mới sinh
2	frontier	back_library_keepalive	5	90043	90069,90073,90074	4	377798656	255639552	ok	app + WebKit mới sinh
2	frontier	back_library_keepalive	6	90043	90069,90073,90074	4	377688064	255541248	ok	app + WebKit mới sinh
2	frontier	back_library_keepalive	7	90043	90069,90073,90074	4	377696256	255549440	ok	app + WebKit mới sinh
2	frontier	back_library_keepalive	8	90043	90069,90073,90074	4	370749440	255549440	ok	app + WebKit mới sinh
2	frontier	back_library_keepalive	9	90043	90069,90073,90074	4	274657280	255549440	ok	app + WebKit mới sinh
2	frontier	back_library_keepalive	10	90043	90069,90073,90074	4	274649088	255541248	ok	app + WebKit mới sinh
3	full	library	1	92131	92150,92156,92157	4	287309824	241561600	ok	app + WebKit mới sinh
